ID,Licenseplate,vehicleusageID,VehicleStatus,createddate,make,model,year_model,colour,vin,fuel_type
47,GS291,279,in use,2026-10-12 10:29:06,Tesla,i30,2026,Black,VIN000047,Petrol
48,QE560,152,available for use,2026-07-30 08:08:00,Hyundai,Model 3,2018,Red,VIN000048,EV
49,XF119,318,available for use,2026-10-29 08:59:55,Mazda,Ranger,2023,White,VIN000049,EV
50,GQ799,255,available for use,2026-03-01 20:36:35,Mazda,i30,2023,Blue,VIN000050,Hybrid
51,DD635,338,in use,2026-11-21 08:33:58,Ford,Ranger,2018,Black,VIN000051,Petrol
52,PG201,17,in use,2026-11-21 18:52:35,Tesla,Sportage,2025,Red,VIN000052,Hybrid
53,BL326,311,available for use,2026-01-06 01:58:16,Ford,Sportage,2025,White,VIN000053,EV
54,ZU162,185,in use,2026-12-31 09:03:59,Tesla,i30,2018,Red,VIN000054,Hybrid
55,QB851,37,available for use,2026-01-31 06:24:37,Ford,CX-5,2019,White,VIN000055,Diesel
56,RM294,99,in use,2026-04-07 14:38:22,Mazda,Sportage,2020,Red,VIN000056,EV
57,XD884,327,in use,2026-09-19 22:43:34,Tesla,Sportage,2024,White,VIN000057,Diesel
58,ZF663,206,in use,2026-09-13 08:38:28,Ford,CX-5,2025,Silver,VIN000058,Hybrid
59,RK965,191,in use,2026-09-03 22:13:56,Tesla,Sportage,2023,,VIN000059,Diesel
60,SR319,193,available for use,2026-12-26 16:18:53,Kia,i30,2023,Blue,VIN000060,EV
61,MA843,18,out of fleet,2026-08-20 08:54:43,Toyota,CX-5,2020,Silver,VIN000061,Petrol
62,JH319,162,in use,2026-11-16 05:02:07,Kia,i30,2026,Red,VIN000062,Diesel
63,DB571,183,in use,2026-04-13 21:52:07,Hyundai,CX-5,2021,Black,VIN000063,Hybrid
64,ZJ194,293,in use,2026-12-23 11:16:42,Ford,Sportage,2019,Silver,VIN000064,EV
65,FP945,296,available for use,2026-02-07 00:51:26,Mazda,Sportage,2022,White,VIN000065,EV
66,CY157,172,in use,2026-11-14 08:18:45,Tesla,Model 3,2019,Black,VIN000066,Petrol
67,UY747,196,in use,2026-07-23 15:36:25,Toyota,i30,2026,Red,VIN000067,Diesel
68,KQ814,114,in use,2026-09-19 14:44:07,Kia,Model 3,2025,Red,VIN000068,Petrol
69,HN396,202,in use,2026-05-11 13:18:52,Toyota,Model 3,2018,Red,VIN000069,EV
70,IC508,257,in use,2026-09-29 00:37:28,Ford,Ranger,2025,,VIN000070,Diesel
71,PM767,293,in use,2026-08-28 05:30:23,Kia,CX-5,2021,Black,VIN000071,Petrol
72,IY540,166,available for use,2026-08-12 16:52:44,Toyota,Corolla,2024,Blue,VIN000072,Hybrid
73,LG428,177,in use,2026-01-10 09:37:26,Hyundai,Ranger,2023,Red,VIN000073,EV
74,TE551,23,out of fleet,2026-04-01 16:16:50,Ford,Sportage,2023,Black,VIN000074,Petrol
75,DX155,125,out of fleet,2026-12-26 21:44:48,Ford,i30,2018,Silver,VIN000075,Petrol
76,JO582,12,in use,2026-10-15 09:25:15,Mazda,Ranger,2021,Red,VIN000076,Hybrid
77,RP737,73,available for use,2026-09-17 12:38:24,Toyota,Model 3,2026,White,VIN000077,Hybrid
78,FB390,103,available for use,2026-08-28 23:50:57,Hyundai,Corolla,2025,White,VIN000078,Petrol
79,MV377,340,available for use,2026-09-14 08:34:53,Hyundai,Corolla,2018,Silver,VIN000079,EV
80,HM620,51,out of fleet,2026-07-08 05:22:43,Mazda,CX-5,2019,Black,VIN000080,Diesel
81,QO674,12,in use,2026-12-25 04:10:49,Mazda,i30,2023,Blue,VIN000081,EV
82,XF118,178,available for use,2026-05-19 00:21:51,Kia,i30,2021,Red,VIN000082,Hybrid
83,ZB740,132,available for use,2026-12-12 19:08:56,Toyota,CX-5,2022,Black,VIN000083,Diesel
84,KM772,71,in use,2026-05-29 10:25:42,Mazda,Sportage,2021,Blue,VIN000084,Diesel
85,SE536,160,out of fleet,2026-05-08 21:09:22,Tesla,CX-5,2020,Black,VIN000085,Diesel
86,SR800,104,available for use,2026-05-01 00:04:25,Kia,Sportage,2026,Black,VIN000086,EV
87,YE771,290,out of fleet,2026-05-04 07:16:45,Toyota,CX-5,2026,White,VIN000087,Diesel
88,KE844,16,available for use,2026-12-08 19:25:25,Tesla,Model 3,2022,Blue,VIN000088,Hybrid
89,EY292,55,in use,2026-01-11 04:11:06,Mazda,CX-5,2022,Red,VIN000089,Diesel
90,TH336,14,in use,2026-09-25 05:56:29,Tesla,Ranger,2026,Red,VIN000090,EV
91,WU482,95,available for use,2026-07-10 20:36:17,Tesla,Ranger,2020,Black,VIN000091,Diesel
92,BN882,8,out of fleet,2026-06-10 09:50:57,Ford,Sportage,2021,Black,VIN000092,Petrol
93,FO987,316,in use,2026-05-07 04:14:48,Tesla,Ranger,2024,Blue,VIN000093,Petrol
94,TX944,195,available for use,2026-06-03 01:45:03,Mazda,Sportage,2026,Red,VIN000094,Petrol
95,QD562,234,available for use,2026-01-17 11:20:41,Ford,CX-5,2026,Blue,VIN000095,Petrol
96,RM628,323,out of fleet,2026-03-15 17:32:00,Hyundai,Model 3,2024,Silver,VIN000096,Hybrid
97,OF532,151,in use,2026-01-22 04:24:42,Kia,CX-5,2020,Blue,VIN000097,EV
98,CX612,58,in use,2026-08-16 08:46:05,Kia,CX-5,2020,Blue,VIN000098,EV
99,KO125,92,in use,2026-12-15 05:04:51,Kia,Ranger,2025,White,VIN000099,Hybrid
100,KW764,84,available for use,2026-02-17 23:30:56,Toyota,Corolla,2025,Silver,VIN000100,Petrol
101,QW493,262,in use,2026-03-04 02:22:22,Tesla,CX-5,2024,White,VIN000101,Diesel
102,KS992,338,available for use,2026-03-04 23:06:21,Ford,Ranger,2018,Blue,VIN000102,Hybrid
103,JX887,229,in use,2026-03-12 04:12:32,Toyota,Ranger,2021,White,VIN000103,Hybrid
104,AO609,256,in use,2026-01-03 05:35:56,Mazda,Model 3,2021,Black,VIN000104,EV
105,ON552,41,in use,2026-01-03 13:15:54,Ford,CX-5,2022,Red,VIN000105,Diesel
106,BF251,29,available for use,2026-01-15 06:15:54,Ford,Corolla,2022,Silver,VIN000106,Petrol
107,BD526,92,in use,2026-04-21 10:37:07,Mazda,Sportage,2026,Black,VIN000107,EV
108,XS468,19,in use,2026-04-27 05:37:36,Hyundai,i30,2024,White,VIN000108,EV
109,RC399,242,in use,2026-09-27 18:19:20,Hyundai,i30,2026,Blue,VIN000109,Diesel
110,WG726,30,in use,2026-10-11 09:33:45,Kia,CX-5,2019,Blue,VIN000110,Hybrid
111,NT968,163,in use,2026-08-12 08:43:06,Mazda,i30,2020,Red,VIN000111,EV
112,QX747,255,in use,2026-03-11 20:51:24,Mazda,Ranger,2022,Black,VIN000112,Petrol
113,DA576,321,available for use,2026-10-14 09:42:12,Ford,CX-5,2024,Blue,VIN000113,Petrol
114,KL673,327,in use,2026-09-06 18:59:43,Ford,Sportage,2022,Silver,VIN000114,Petrol
115,JJ618,282,in use,2026-01-03 09:08:51,Toyota,Sportage,2023,Silver,VIN000115,EV
116,XS730,15,available for use,2026-03-17 08:21:22,Hyundai,i30,2025,Blue,VIN000116,Petrol
117,UE593,80,in use,2026-12-13 10:35:10,Mazda,i30,2025,Blue,VIN000117,Petrol
118,QJ678,348,in use,2026-07-28 02:48:52,Toyota,Ranger,2023,Silver,VIN000118,Petrol
119,EI960,16,in use,2026-05-26 17:29:51,Kia,CX-5,2020,Red,VIN000119,EV
120,FT219,158,available for use,2026-05-03 03:20:48,Kia,Corolla,2022,Blue,VIN000120,Petrol
121,PH480,232,available for use,2026-04-28 12:42:14,Ford,CX-5,2022,Black,VIN000121,Petrol
122,LZ138,104,out of fleet,2026-06-22 08:16:27,Mazda,Corolla,2025,Red,VIN000122,Diesel
123,GK595,269,in use,2026-05-08 03:00:39,Ford,Corolla,2026,Black,VIN000123,Diesel
124,XB570,199,available for use,2026-07-22 20:36:25,Toyota,Corolla,2022,White,VIN000124,Petrol
125,KO147,53,in use,2026-09-13 22:10:43,Kia,i30,2018,Red,VIN000125,Hybrid
126,UG428,103,in use,2026-04-18 10:33:38,Mazda,i30,2025,White,VIN000126,Hybrid
127,EF380,59,in use,2026-08-30 22:16:04,Mazda,CX-5,2019,Black,VIN000127,Hybrid
128,RK377,73,out of fleet,2026-11-09 05:50:58,Hyundai,CX-5,2021,Black,VIN000128,Petrol
129,JT446,277,in use,2026-02-20 12:22:39,Toyota,Model 3,2018,White,VIN000129,EV
130,BC536,201,in use,2026-08-20 12:15:13,Mazda,Sportage,2025,Red,VIN000130,Hybrid
131,JK937,102,available for use,2026-09-18 12:57:50,Mazda,Corolla,2025,Red,VIN000131,Diesel
132,CZ815,240,in use,2026-05-01 13:03:36,Kia,Sportage,2025,Blue,VIN000132,Diesel
133,HE981,316,in use,2026-05-22 03:35:36,Tesla,Ranger,2023,Silver,VIN000133,EV
134,PA166,244,in use,2026-07-05 21:21:38,Tesla,Ranger,2022,Silver,VIN000134,Diesel
135,QD515,55,in use,2026-09-10 05:19:33,Toyota,i30,2026,Blue,VIN000135,EV
136,SN344,318,in use,2026-03-03 18:10:35,Tesla,Model 3,2019,Silver,VIN000136,Diesel
137,WS541,223,in use,2026-05-13 21:32:34,Mazda,Sportage,2021,Black,VIN000137,Petrol
138,XW687,250,in use,2026-08-20 11:49:34,Tesla,i30,2026,White,VIN000138,EV
139,FJ515,36,in use,2026-09-24 05:24:14,Mazda,Model 3,2023,Blue,VIN000139,Petrol
140,CG936,72,available for use,2026-12-17 18:57:22,Kia,Corolla,2020,Black,VIN000140,EV
141,RJ499,316,in use,2026-03-17 23:44:42,Ford,Sportage,2023,Silver,VIN000141,Hybrid
142,NW452,46,in use,2026-08-26 11:30:24,Mazda,Model 3,2020,Silver,VIN000142,Petrol
143,LR154,1,available for use,2026-11-15 17:58:30,Hyundai,Corolla,2022,White,VIN000143,Diesel
144,NW704,202,in use,2026-10-04 10:12:40,Tesla,Model 3,2024,Blue,VIN000144,Diesel
145,VF586,72,in use,2026-05-30 08:41:08,Hyundai,Model 3,2020,Silver,VIN000145,Diesel
146,EA173,332,in use,2026-10-08 03:22:08,Tesla,Sportage,2024,Black,VIN000146,Petrol
147,EU925,213,available for use,2026-12-14 00:47:32,Kia,CX-5,2024,Red,VIN000147,Diesel
148,OQ534,283,available for use,2026-05-30 09:48:03,Hyundai,Ranger,2020,Blue,VIN000148,Petrol
149,SP967,122,available for use,2026-04-15 13:35:45,Tesla,CX-5,2023,White,VIN000149,Petrol
150,SP821,189,in use,2026-07-07 00:12:43,Kia,Corolla,2020,Red,VIN000150,Hybrid
151,OQ180,268,available for use,2026-02-04 08:22:47,Ford,Model 3,2019,Red,VIN000151,Hybrid
152,TB451,274,available for use,2026-07-02 02:10:26,Tesla,CX-5,2025,Red,VIN000152,Hybrid
153,NL917,151,in use,2026-01-14 17:15:51,Kia,CX-5,2022,Red,VIN000153,Hybrid
154,BU584,297,in use,2026-01-21 01:07:55,Kia,i30,2018,Silver,VIN000154,EV
155,CE617,40,available for use,2026-04-18 21:44:18,Hyundai,Ranger,2022,Silver,VIN000155,Hybrid
156,AX214,310,in use,2026-08-18 19:41:50,Kia,Ranger,2025,Silver,VIN000156,Diesel
157,IZ817,121,in use,2026-11-07 10:41:13,Mazda,Corolla,2023,White,VIN000157,Diesel
158,TE957,254,available for use,2026-06-10 08:57:11,Tesla,Ranger,2025,Black,VIN000158,Diesel
159,SX962,177,in use,2026-04-13 16:20:40,Toyota,Corolla,2020,Blue,VIN000159,EV
160,PJ587,273,in use,2026-09-23 10:46:28,Kia,Model 3,2025,Silver,VIN000160,Diesel
161,QN112,148,out of fleet,2026-06-24 07:18:41,Tesla,Sportage,2023,Red,VIN000161,Petrol
162,DR752,182,out of fleet,2026-06-17 16:32:09,Mazda,Sportage,2022,Silver,VIN000162,Hybrid
163,IZ200,131,available for use,2026-06-01 21:49:02,Tesla,Sportage,2021,Red,VIN000163,Diesel
164,QK793,93,in use,2026-01-05 02:35:38,Kia,Corolla,2019,White,VIN000164,EV
165,DQ206,229,in use,2026-10-09 15:49:33,Hyundai,i30,2021,White,VIN000165,Petrol
166,TC158,305,available for use,2026-11-21 11:02:36,Ford,CX-5,2019,White,VIN000166,Petrol
167,TE484,337,available for use,2026-09-09 14:55:12,Mazda,Ranger,2019,Black,VIN000167,Hybrid
168,JO776,39,in use,2026-12-25 08:08:39,Hyundai,Model 3,2023,,VIN000168,Diesel
169,YC383,32,in use,2026-05-10 04:34:00,Toyota,i30,2022,Black,VIN000169,EV
170,CP305,313,in use,2026-09-08 16:20:21,Tesla,Corolla,2020,Red,VIN000170,EV
171,GT758,55,out of fleet,2026-10-05 20:00:51,Hyundai,Corolla,2018,White,VIN000171,Petrol
172,SX356,229,in use,2026-07-13 06:54:47,Ford,Sportage,2018,White,VIN000172,EV
173,IE816,169,out of fleet,2026-08-12 04:02:07,Toyota,CX-5,2025,Blue,VIN000173,EV
174,MX899,36,in use,2026-01-02 06:49:36,Tesla,Sportage,2025,White,VIN000174,Hybrid
175,KV410,206,in use,2026-09-09 07:10:14,Toyota,i30,2026,Silver,VIN000175,Petrol
176,OY884,149,in use,2026-03-10 14:12:06,Mazda,Corolla,2024,Black,VIN000176,Hybrid
177,WM209,323,available for use,2026-07-08 22:32:30,Toyota,Sportage,2025,Black,VIN000177,Diesel
178,BG125,304,in use,2026-05-31 23:34:33,Toyota,CX-5,2022,Blue,VIN000178,EV
179,AB447,29,in use,2026-10-08 00:19:07,Toyota,Model 3,2019,Black,VIN000179,EV
180,VR252,297,in use,2026-01-28 23:24:02,Toyota,Sportage,2020,Blue,VIN000180,Petrol
181,PT146,125,available for use,2026-02-20 16:41:59,Toyota,Ranger,2018,Silver,VIN000181,Petrol
182,OT274,303,in use,2026-11-14 11:22:34,Toyota,Corolla,2025,Red,VIN000182,Diesel
183,CZ307,219,in use,2026-11-21 15:06:53,Kia,Sportage,2024,Silver,VIN000183,Petrol
184,VS658,71,in use,2026-11-05 00:14:36,Ford,Corolla,2020,Silver,VIN000184,Petrol
185,DI244,213,in use,2026-05-24 15:58:21,Mazda,Ranger,2025,Black,VIN000185,Petrol
186,ED910,324,in use,2026-10-30 00:19:54,Ford,Corolla,2025,White,VIN000186,Petrol
187,AF191,334,in use,2026-04-21 04:34:10,Tesla,Sportage,2025,Black,VIN000187,Diesel
188,EU377,268,in use,2026-04-03 22:00:23,Ford,CX-5,2018,Red,VIN000188,Diesel
189,WP726,46,in use,2026-10-31 22:12:09,Hyundai,i30,2024,White,VIN000189,Diesel
190,GD642,49,in use,2026-12-02 01:14:10,Mazda,CX-5,2021,Blue,VIN000190,Diesel
191,IB298,58,available for use,2026-09-24 02:56:04,Tesla,Model 3,2020,Black,VIN000191,Petrol
192,BU472,146,in use,2026-04-08 15:02:52,Hyundai,CX-5,2025,White,VIN000192,Petrol
193,XB650,91,in use,2026-01-12 06:54:27,Tesla,CX-5,2019,White,VIN000193,Diesel
194,XO706,297,in use,2026-03-19 04:29:50,Kia,Sportage,2023,Black,VIN000194,Petrol
195,KH200,122,available for use,2026-12-04 19:55:40,Ford,Model 3,2021,White,VIN000195,EV
196,SP155,224,in use,2026-12-27 08:32:05,Mazda,Model 3,2020,Blue,VIN000196,Hybrid
197,EO837,100,in use,2026-04-15 17:44:06,Ford,i30,2020,White,VIN000197,Petrol
198,IE213,239,in use,2026-03-08 11:42:42,Hyundai,Ranger,2022,Red,VIN000198,Diesel
199,ZZ753,314,out of fleet,2026-08-13 12:28:56,Mazda,Ranger,2019,Blue,VIN000199,EV
200,GS584,237,in use,2026-10-11 12:15:31,Tesla,Sportage,2021,Black,VIN000200,Hybrid
201,NS327,303,out of fleet,2026-12-21 20:48:40,Mazda,Corolla,2024,White,VIN000201,Petrol
202,PX887,259,in use,2026-07-26 06:24:47,Tesla,Model 3,2019,Blue,VIN000202,EV
203,HC671,7,available for use,2026-06-07 21:57:18,Ford,Ranger,2023,Silver,VIN000203,Diesel
204,UC116,246,available for use,2026-03-04 20:06:42,Kia,Model 3,2018,Blue,VIN000204,EV
205,YE995,208,in use,2026-12-05 11:27:05,Hyundai,Sportage,2025,White,VIN000205,Petrol
206,MW440,272,in use,2026-06-15 09:41:48,Hyundai,Sportage,2026,Red,VIN000206,Diesel
207,ZV182,318,available for use,2026-10-13 17:47:15,Toyota,CX-5,2023,White,VIN000207,Petrol
208,ML576,317,in use,2026-05-23 07:24:11,Ford,Sportage,2026,White,VIN000208,Diesel
209,EK344,277,in use,2026-07-05 19:52:56,Kia,CX-5,2021,Black,VIN000209,Hybrid
210,LI615,349,in use,2026-01-22 03:36:14,Toyota,i30,2023,Blue,VIN000210,EV
211,QQ949,63,in use,2026-07-26 13:42:32,Kia,CX-5,2022,Blue,VIN000211,Hybrid
212,ZV809,34,in use,2026-12-10 07:16:52,Tesla,Corolla,2019,Blue,VIN000212,Diesel
213,JC211,85,in use,2026-09-28 17:16:34,Ford,Model 3,2020,Black,VIN000213,Petrol
214,JN798,278,out of fleet,2026-07-04 01:06:50,Hyundai,Model 3,2025,White,VIN000214,Hybrid
215,GC122,119,available for use,2026-07-21 19:12:50,Kia,i30,2024,Red,VIN000215,Hybrid
216,UU905,168,in use,2026-09-16 14:13:17,Kia,CX-5,2026,Blue,VIN000216,EV
217,JS235,157,in use,2026-04-11 23:26:42,Ford,Model 3,2023,Silver,VIN000217,Petrol
218,EL391,234,out of fleet,2026-08-29 06:03:05,Ford,Sportage,2026,Silver,VIN000218,Diesel
219,FW809,342,available for use,2026-03-04 15:00:10,Ford,Corolla,2018,Silver,VIN000219,Diesel
220,OI478,95,in use,2026-10-02 14:58:12,Toyota,Sportage,2023,Silver,VIN000220,Diesel
221,LO652,84,in use,2026-02-17 04:22:08,Toyota,Model 3,2025,Black,VIN000221,EV
222,KE104,280,out of fleet,2026-05-09 15:45:33,Kia,Sportage,2022,Blue,VIN000222,Hybrid
223,YS782,76,available for use,2026-10-10 22:31:12,Tesla,i30,2019,Blue,VIN000223,Petrol
224,EV664,60,in use,2026-06-05 23:27:43,Mazda,Ranger,2025,Silver,VIN000224,Petrol
225,KB722,329,in use,2026-07-24 10:43:08,Ford,i30,2021,White,VIN000225,Petrol
226,RO793,344,out of fleet,2026-07-18 18:12:19,Tesla,Ranger,2025,Silver,VIN000226,Petrol
227,VL507,76,available for use,2026-06-16 01:53:53,Hyundai,Model 3,2023,White,VIN000227,Hybrid
228,LL415,229,available for use,2026-02-04 00:28:42,Ford,Sportage,2025,Blue,VIN000228,EV
229,JF925,218,available for use,2026-06-10 20:33:57,Ford,CX-5,2019,Black,VIN000229,Diesel
230,JP988,269,out of fleet,2026-01-26 16:14:37,Mazda,Model 3,2019,White,VIN000230,EV
231,UI524,90,in use,2026-10-03 19:58:54,Mazda,Ranger,2021,Black,VIN000231,EV
232,JR602,22,available for use,2026-04-28 06:46:40,Mazda,i30,2025,Red,VIN000232,EV
233,HA910,2,in use,2026-04-27 13:46:53,Kia,Sportage,2025,White,VIN000233,Hybrid
234,NF603,331,in use,2026-02-16 08:27:57,Hyundai,Model 3,2019,Red,VIN000234,Hybrid
235,SP679,224,available for use,2026-09-01 21:20:50,Kia,Model 3,2019,Silver,VIN000235,Petrol
236,IF695,30,in use,2026-06-29 01:14:28,Kia,Ranger,2023,Black,VIN000236,Petrol
237,IL529,326,out of fleet,2026-05-19 06:00:51,Toyota,i30,2022,Red,VIN000237,Petrol
238,QG884,322,in use,2026-02-06 16:53:04,Mazda,Ranger,2026,Silver,VIN000238,Hybrid
239,VZ408,139,available for use,2026-09-25 07:51:20,Hyundai,Corolla,2026,Red,VIN000239,Hybrid
240,EA240,266,in use,2026-10-30 11:00:54,Tesla,Model 3,2023,Black,VIN000240,Petrol
241,GE615,114,available for use,2026-11-05 18:55:54,Mazda,CX-5,2026,Red,VIN000241,Petrol
242,NO178,60,available for use,2026-12-25 14:48:09,Toyota,Model 3,2023,Silver,VIN000242,Hybrid
243,EO711,268,available for use,2026-05-13 20:05:30,Ford,Sportage,2022,White,VIN000243,Petrol
244,HE977,73,available for use,2026-04-30 09:26:22,Ford,Ranger,2020,White,VIN000244,EV
245,WY902,58,in use,2026-10-28 20:39:20,Tesla,Model 3,2018,Black,VIN000245,Petrol
246,BZ775,263,in use,2026-07-02 04:09:51,Toyota,i30,2018,White,VIN000246,Hybrid
247,VA872,50,available for use,2026-12-24 07:56:08,Mazda,Ranger,2021,Black,VIN000247,Hybrid
248,AC249,143,out of fleet,2026-05-16 02:04:17,Hyundai,Ranger,2026,Red,VIN000248,Diesel
249,QS169,51,available for use,2026-10-24 09:57:00,Toyota,CX-5,2021,Black,VIN000249,Hybrid
250,FY650,3,out of fleet,2026-02-08 07:49:03,Ford,CX-5,2025,Silver,VIN000250,Diesel
251,OV209,93,available for use,2026-05-28 10:16:07,Tesla,Ranger,2026,Black,VIN000251,EV
252,DY421,64,in use,2026-07-21 20:12:43,Ford,Model 3,2023,Silver,VIN000252,Petrol
253,CK605,60,in use,2026-06-27 11:02:35,Mazda,Sportage,2022,Blue,VIN000253,Diesel
254,RN397,220,in use,2026-01-28 00:48:15,Tesla,Sportage,2023,Black,VIN000254,Petrol
255,VP788,54,in use,2026-07-22 23:33:59,Kia,Sportage,2019,White,VIN000255,Diesel
256,MM811,303,out of fleet,2026-10-15 22:38:54,Ford,Corolla,2023,Black,VIN000256,Hybrid
257,GT964,207,in use,2026-11-22 11:44:35,Tesla,Sportage,2025,Silver,VIN000257,Hybrid
258,YZ920,330,out of fleet,2026-05-19 07:04:02,Tesla,Sportage,2024,Blue,VIN000258,Hybrid
259,EY565,56,in use,2026-07-10 00:59:32,Tesla,Ranger,2020,White,VIN000259,Petrol
260,XB950,35,in use,2026-01-11 09:19:03,Ford,Model 3,2023,Black,VIN000260,Hybrid
261,TT198,40,available for use,2026-07-21 22:16:30,Tesla,Model 3,2021,Silver,VIN000261,EV
262,PQ367,278,in use,2026-11-30 20:43:36,Mazda,CX-5,2018,White,VIN000262,EV
263,DM560,162,available for use,2026-06-21 20:55:20,Tesla,Corolla,2018,Black,VIN000263,Hybrid
264,WF603,221,in use,2026-10-05 23:01:25,Tesla,Model 3,2019,Red,VIN000264,EV
265,VR801,277,in use,2026-07-04 19:48:45,Mazda,Ranger,2026,White,VIN000265,EV
266,IP705,194,in use,2026-05-17 23:59:47,Hyundai,i30,2018,White,VIN000266,Petrol
267,EL457,299,in use,2026-12-13 03:55:04,Kia,i30,2024,White,VIN000267,EV
268,LL521,180,in use,2026-04-05 20:22:41,Ford,Ranger,2022,Red,VIN000268,Petrol
269,WC989,157,in use,2026-03-07 22:27:26,Toyota,CX-5,2023,White,VIN000269,EV
270,VN681,264,out of fleet,2026-04-14 13:04:05,Toyota,Sportage,2025,Red,VIN000270,Petrol
271,KM684,200,in use,2026-02-07 22:52:09,Tesla,Corolla,2021,Silver,VIN000271,EV
272,QZ883,342,in use,2026-08-27 18:36:40,Hyundai,i30,2024,Black,VIN000272,EV
